Technetium	[sound:element-technetium.mp3]	[sound:element-43.mp3]	"<img src=""element-43.png"">"	"<img src=""element-labels.png"">"	
Ruthenium	[sound:element-ruthenium.mp3]	[sound:element-44.mp3]	"<img src=""element-44.png"">"	"<img src=""element-labels.png"">"	
Rhodium	[sound:element-rhodium.mp3]	[sound:element-45.mp3]	"<img src=""element-45.png"">"	"<img src=""element-labels.png"">"	
Palladium	[sound:element-palladium.mp3]	[sound:element-46.mp3]	"<img src=""element-46.png"">"	"<img src=""element-labels.png"">"	
Silver	[sound:element-silver.mp3]	[sound:element-47.mp3]	"<img src=""element-47.png"">"	"<img src=""element-labels.png"">"	
Cadmium	[sound:element-cadmium.mp3]	[sound:element-48.mp3]	"<img src=""element-48.png"">"	"<img src=""element-labels.png"">"	
Indium	[sound:element-indium.mp3]	[sound:element-49.mp3]	"<img src=""element-49.png"">"	"<img src=""element-labels.png"">"	
Tin	[sound:element-tin.mp3]	[sound:element-50.mp3]	"<img src=""element-50.png"">"	"<img src=""element-labels.png"">"	
Antimony	[sound:element-antimony.mp3]	[sound:element-51.mp3]	"<img src=""element-51.png"">"	"<img src=""element-labels.png"">"	
Tellurium	[sound:element-tellurium.mp3]	[sound:element-52.mp3]	"<img src=""element-52.png"">"	"<img src=""element-labels.png"">"	
Iodine	[sound:element-iodine.mp3]	[sound:element-53.mp3]	"<img src=""element-53.png"">"	"<img src=""element-labels.png"">"	
Xenon	[sound:element-xenon.mp3]	[sound:element-54.mp3]	"<img src=""element-54.png"">"	"<img src=""element-labels.png"">"	
Cesium	[sound:element-cesium.mp3]	[sound:element-55.mp3]	"<img src=""element-55.png"">"	"<img src=""element-labels.png"">"	
Barium	[sound:element-barium.mp3]	[sound:element-56.mp3]	"<img src=""element-56.png"">"	"<img src=""element-labels.png"">"	
Lanthanum	[sound:element-lanthanum.mp3]	[sound:element-57.mp3]	"<img src=""element-57.png"">"	"<img src=""element-labels.png"">"	
Cerium	[sound:element-cerium.mp3]	[sound:element-58.mp3]	"<img src=""element-58.png"">"	"<img src=""element-labels.png"">"	
Praseodymium	[sound:element-praseodymium.mp3]	[sound:element-59.mp3]	"<img src=""element-59.png"">"	"<img src=""element-labels.png"">"	
Neodymium	[sound:element-neodymium.mp3]	[sound:element-60.mp3]	"<img src=""element-60.png"">"	"<img src=""element-labels.png"">"	
Promethium	[sound:element-promethium.mp3]	[sound:element-61.mp3]	"<img src=""element-61.png"">"	"<img src=""element-labels.png"">"	
Samarium	[sound:element-samarium.mp3]	[sound:element-62.mp3]	"<img src=""element-62.png"">"	"<img src=""element-labels.png"">"	
Europium	[sound:element-europium.mp3]	[sound:element-63.mp3]	"<img src=""element-63.png"">"	"<img src=""element-labels.png"">"	
Gadolinium	[sound:element-gadolinium.mp3]	[sound:element-64.mp3]	"<img src=""element-64.png"">"	"<img src=""element-labels.png"">"	
Terbium	[sound:element-terbium.mp3]	[sound:element-65.mp3]	"<img src=""element-65.png"">"	"<img src=""element-labels.png"">"	
Dysprosium	[sound:element-dysprosium.mp3]	[sound:element-66.mp3]	"<img src=""element-66.png"">"	"<img src=""element-labels.png"">"	
Holmium	[sound:element-holmium.mp3]	[sound:element-67.mp3]	"<img src=""element-67.png"">"	"<img src=""element-labels.png"">"	
Erbium	[sound:element-erbium.mp3]	[sound:element-68.mp3]	"<img src=""element-68.png"">"	"<img src=""element-labels.png"">"	
Thulium	[sound:element-thulium.mp3]	[sound:element-69.mp3]	"<img src=""element-69.png"">"	"<img src=""element-labels.png"">"	
Ytterbium	[sound:element-ytterbium.mp3]	[sound:element-70.mp3]	"<img src=""element-70.png"">"	"<img src=""element-labels.png"">"	
Lutetium	[sound:element-lutetium.mp3]	[sound:element-71.mp3]	"<img src=""element-71.png"">"	"<img src=""element-labels.png"">"	
Hafnium	[sound:element-hafnium.mp3]	[sound:element-72.mp3]	"<img src=""element-72.png"">"	"<img src=""element-labels.png"">"	
Tantalum	[sound:element-tantalum.mp3]	[sound:element-73.mp3]	"<img src=""element-73.png"">"	"<img src=""element-labels.png"">"	
Tungsten	[sound:element-tungsten.mp3]	[sound:element-74.mp3]	"<img src=""element-74.png"">"	"<img src=""element-labels.png"">"	
Rhenium	[sound:element-rhenium.mp3]	[sound:element-75.mp3]	"<img src=""element-75.png"">"	"<img src=""element-labels.png"">"	
Osmium	[sound:element-osmium.mp3]	[sound:element-76.mp3]	"<img src=""element-76.png"">"	"<img src=""element-labels.png"">"	
Iridium	[sound:element-iridium.mp3]	[sound:element-77.mp3]	"<img src=""element-77.png"">"	"<img src=""element-labels.png"">"	
Platinum	[sound:element-platinum.mp3]	[sound:element-78.mp3]	"<img src=""element-78.png"">"	"<img src=""element-labels.png"">"	
Gold	[sound:element-gold.mp3]	[sound:element-79.mp3]	"<img src=""element-79.png"">"	"<img src=""element-labels.png"">"	
